TransactionType,ExecutionMode,TransactionCount,ElapsedTime
short,serial,10,0.04
short,serial,25,0.02
short,serial,50,0.03
short,serial,100,0.03
short,serial,200,0.05
short,serial,500,0.10
short,parallel,10,0.23
short,parallel,25,0.48
short,parallel,50,0.88
short,parallel,100,1.71
short,parallel,200,3.32
short,parallel,500,9.15
long,serial,10,0.05
long,serial,25,0.10
long,serial,50,0.19
long,serial,100,0.36
long,serial,200,0.70
long,serial,500,1.85
long,parallel,10,0.25
long,parallel,25,0.48
long,parallel,50,0.91
long,parallel,100,1.74
long,parallel,200,3.57
long,parallel,500,10.30
