TransactionType,ExecutionMode,TransactionCount,ElapsedTime
short,serial,10,0.02
short,serial,25,0.01
short,serial,50,0.02
short,serial,100,0.02
short,serial,200,0.04
short,serial,500,0.09
short,parallel,10,0.06
short,parallel,25,0.12
short,parallel,50,0.23
short,parallel,100,0.50
short,parallel,200,0.98
short,parallel,500,3.07
long,serial,10,0.01
long,serial,25,0.02
long,serial,50,0.03
long,serial,100,0.06
long,serial,200,0.12
long,serial,500,0.28
long,parallel,10,0.06
long,parallel,25,0.13
long,parallel,50,0.27
long,parallel,100,0.47
long,parallel,200,0.97
long,parallel,500,3.15
