TransactionType,ExecutionMode,TransactionCount,ElapsedTime
short,serial,10,0.02
short,serial,25,0.02
short,serial,50,0.03
short,serial,100,0.03
short,serial,200,0.05
short,serial,500,0.12
short,parallel,10,0.24
short,parallel,25,0.49
short,parallel,50,0.89
short,parallel,100,1.77
short,parallel,200,3.46
short,parallel,500,10.74
long,serial,10,0.05
long,serial,25,0.11
long,serial,50,0.19
long,serial,100,0.37
long,serial,200,0.70
long,serial,500,1.83
long,parallel,10,0.27
long,parallel,25,0.50
long,parallel,50,0.92
long,parallel,100,1.75
long,parallel,200,3.46
long,parallel,500,9.20
