TransactionType,ExecutionMode,TransactionCount,ElapsedTime
short,serial,10,0.03
short,serial,25,0.02
short,serial,50,0.03
short,serial,100,0.03
short,serial,200,0.05
short,serial,500,0.11
short,parallel,10,0.23
short,parallel,25,0.51
short,parallel,50,0.88
short,parallel,100,1.74
short,parallel,200,3.55
short,parallel,500,9.30
long,serial,10,0.06
long,serial,25,0.11
long,serial,50,0.18
long,serial,100,0.36
long,serial,200,0.74
long,serial,500,1.76
long,parallel,10,0.26
long,parallel,25,0.49
long,parallel,50,0.95
long,parallel,100,1.76
long,parallel,200,3.49
long,parallel,500,9.68
