TransactionType,ExecutionMode,TransactionCount,ElapsedTime
short,serial,10,0.19
short,serial,25,0.19
short,serial,50,0.19
short,serial,100,0.20
short,serial,200,0.21
short,serial,500,0.27
short,parallel,10,1.79
short,parallel,25,3.86
short,parallel,50,7.14
short,parallel,100,13.72
short,parallel,200,28.47
short,parallel,500,78.24
long,serial,10,0.47
long,serial,25,0.89
long,serial,50,1.55
long,serial,100,2.88
long,serial,200,5.52
long,serial,500,13.57
long,parallel,10,2.02
long,parallel,25,4.09
long,parallel,50,7.44
long,parallel,100,15.27
long,parallel,200,27.71
long,parallel,500,71.37
